Group Core Meaning,Word,Sense,Meaning,Source,,,,
TALKATIVE,voluble,,"(adj, +ve) fluently, easily + talkative",BOTH,,,,
TEMPERAMENT / CHARACTER,ethos,,(anthropology) the distinctive spirit of a culture or an era,XLSX,,,,
TEMPERAMENT / CHARACTER,spirit,,the vital principle or animating force within living things,XLSX,,,,
TENDENCY / LIKING,affinity,,"(noun, +ve) natural attraction or kinship",BOTH,,,,
TENDENCY / LIKING,envy,,a feeling of grudging admiration and desire to have something that is possessed by another,XLSX,,,,
TENDENCY / LIKING,inclination,,an attitude of mind especially one that favors one alternative over others,GREG_MAT,,,,
TENDENCY / LIKING,inclined,,"(adj, N) tending, disposed (adj) + tendency / liking",PDF,,,,
TENDENCY / LIKING,penchant,,"(noun, +ve) a strong liking + tendency / liking",PDF,,,,
TENDENCY / LIKING,predilection,,"(noun, +ve) a preferential + tendency / liking",BOTH,,,,
TENDENCY / LIKING,proclivity,,"(noun, N) a natural (often bad-habit) + tendency / liking",BOTH,,,,
TENDENCY / LIKING,propensity,,"(noun, N) an innate, built-in + tendency / liking",PDF,,,,
TENDENCY / LIKING,tendency,,an attitude of mind especially one that favors one alternative over others,XLSX,,,,
TENTATIVE / PROVISIONAL,contingency,,a possible event or occurrence or result,XLSX,,,,
TENTATIVE / PROVISIONAL,contingent,,a gathering of persons representative of some larger group,XLSX,,,,
TENTATIVE / PROVISIONAL,half-formulated,,tentative; provisional,XLSX,,,,
TENTATIVE / PROVISIONAL,provisional,,under terms not final or fully worked out or agreed upon,XLSX,,,,
THRILLING / EXCITING,exhilarate,,fill with sublime emotion,XLSX,,,,
THRILLING / EXCITING,exhilarating,,"(adj, +ve) invigoratingly + thrilling / exciting",PDF,,,,
THRILLING / EXCITING,exhilaration,,the feeling of lively and cheerful joy,XLSX,,,,
THRILLING / EXCITING,heady,,"(adj, +ve) intoxicatingly + thrilling / exciting",PDF,,,,
TIMID,cowardice,,the trait of lacking courage,XLSX,,,,
TIMID,cowardly,,lacking courage; ignobly timid and faint-hearted; - P.B.Shelley,XLSX,,,,
TIMID,cower,,crouch or curl up,XLSX,,,,
TIMID,craven,,"(adj, -ve) contemptibly cowardly + timid",PDF,,,,
TIMID,diffidence,,lack of self-confidence,XLSX,,,,
TIMID,diffident,,"(adj, N) shyly self-doubting + timid",BOTH,,,,
TIMID,shy,,a quick throw,XLSX,,,,
TIMID,skittish,,"(adj, -ve) nervously jumpy + timid",PDF,,,,
TIMID,timidity,,fear of the unknown or unfamiliar or fear of making decisions,XLSX,,,,
TIMID,timorous,,"(adj, -ve) fearfully + timid",PDF,,,,
TINY,diminutive,,"(adj, N) charmingly + tiny",BOTH,,,,
TINY,minuscule,,the characters that were once kept in bottom half of a compositor's type case,XLSX,,,,
TINY,minute,,"(adj/noun, N) microscopically + tiny | also: detailed",PDF,,,,
TINY,modicum,,a small or moderate or token amount; - Ian Jack,XLSX,,,,
TIRED / WEARY,fatigue,,temporary loss of strength and energy resulting from hard physical or mental work,GREG_MAT,,,,
TIRED / WEARY,halfhearted,,feeling or showing little interest or enthusiasm,XLSX,,,,
TIRED / WEARY,tepid,,"(adj, -ve) lukewarmly unenthusiastic + indifferent",BOTH,,,,
TIRED / WEARY,weary,,"(adj, -ve) tired, worn out",PDF,,,,
TRANSFER / DELEGATE,delegate,,a person appointed or elected to represent others,XLSX,,,,
TRANSFER / DELEGATE,devolve,,pass on or delegate to another,XLSX,,,,
TRANSFER / DELEGATE,relegation,,authorizing subordinates to make certain decisions,GREG_MAT,,,,
TRANSFORM / CHANGE,metamorphose,,change completely the nature or appearance of,XLSX,,,,
TRANSFORM / CHANGE,morph,,cause to change shape in a computer animation,XLSX,,,,
TRANSFORM / CHANGE,transformation,,a qualitative change,XLSX,,,,
TRICKERY,ploy,,"(noun, N) a calculated tactic + trickery",BOTH,,,,
TRICKERY,skullduggery,,"(noun, -ve) underhanded + trickery",BOTH,,,,
TRITE / OVERUSED,banal,,"(adj, -ve) tritely unoriginal + ordinary / dull",BOTH,,,,
TRITE / OVERUSED,banality,,a trite or obvious remark,XLSX,,,,
TRITE / OVERUSED,bromide,,"(noun, -ve) a soothing but empty cliché (noun) + trite / overused",PDF,,,,
TRITE / OVERUSED,bromidic,,given to uttering bromides,XLSX,,,,
TRITE / OVERUSED,cliché,,trite; overused,XLSX,,,,
TRITE / OVERUSED,hackneyed,,"(adj, -ve) worn-out from overuse + trite / overused",BOTH,,,,
TRITE / OVERUSED,hackneyedness,,trite; overused,XLSX,,,,
TRITE / OVERUSED,platitude,,"(noun, -ve) a hollow moralizing cliché (noun) + trite / overused",PDF,,,,
TRITE / OVERUSED,platitudinous,,dull and tiresome but with pretensions of significance or originality,XLSX,,,,
TRITE / OVERUSED,staleness,,unoriginality as a result of being dull and hackneyed,XLSX,,,,
TRITE / OVERUSED,triteness,,unoriginality as a result of being dull and hackneyed,XLSX,,,,
TRIUMPH / OVERCOME,overcome,,win a victory over,XLSX,,,,
TRIUMPH / OVERCOME,prevail,,"(verb, +ve) win out + triumph / overcome | also: predominate",PDF,,,,
TRIUMPH / OVERCOME,surmount,,"(verb, +ve) climb over, overcome + triumph / overcome",BOTH,,,,
TRIUMPH / OVERCOME,triumph,,a successful ending of a struggle or contest,XLSX,,,,
TRIUMPH / OVERCOME,vanquish,,"(verb, +ve) decisively conquer + triumph / overcome",PDF,,,,
TRIVIAL,frivolity,,the trait of being frivolous; not serious or sensible,GREG_MAT,,,,
TRIVIAL,frivolous,,"(adj, -ve) unseriously silly + trivial",BOTH,,,,
TRIVIAL,inconsequential,,lacking worth or importance,XLSX,,,,
TRIVIAL,insignificant,,not worthy of notice,XLSX,,,,
TRIVIAL,negligible,,so small as to be meaningless; insignificant,XLSX,,,,
TRIVIAL,nominal,,"(adj, N) in name only, token + trivial",PDF,,,,
TRIVIAL,nugatory,,of no real value,XLSX,,,,
TRIVIAL,paltry,,"(adj, -ve) insultingly meager + scarce",BOTH,,,,
TRIVIAL,petty,,larceny of property having a value less than some amount (the amount varies by locale),XLSX,,,,
TRIVIAL,token,,"(noun/adj, N) a symbol | merely nominal (token gesture = -ve)",PDF,,,,
TRIVIAL,trifle,,"a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate",XLSX,,,,
TRIVIAL,trifling,,"(adj, -ve) negligibly + trivial",PDF,,,,
TRIVIAL,trivial,,"(adj, -ve) insignificantly + trivial",BOTH,,,,
TRIVIAL,triviality,,the quality of being unimportant and petty or frivolous,GREG_MAT,,,,
TRIVIAL,trivialize,,make trivial or insignificant,XLSX,,,,
TROUBLE / AGITATE,convulsion,,a sudden uncontrollable attack,XLSX,,,,
TROUBLE / AGITATE,disarray,,a mental state characterized by a lack of clear and orderly thought and behavior,XLSX,,,,
TROUBLE / AGITATE,disorganize,,remove the organization from,XLSX,,,,
TROUBLE / AGITATE,displacement,,act of taking the place of another especially using underhanded tactics,XLSX,,,,
TROUBLE / AGITATE,disruption,,an act of delaying or interrupting the continuity,XLSX,,,,
TROUBLE / AGITATE,disruptive,,characterized by unrest or disorder or insubordination,XLSX,,,,
TROUBLE / AGITATE,upheaval,,a state of violent disturbance and disorder (as in politics or social conditions generally),XLSX,,,,
TRUSTWORTHY / RELIABLE,dependable,,worthy of reliance or trust,XLSX,,,,
TRUSTWORTHY / RELIABLE,loyal,,steadfast in allegiance or duty,XLSX,,,,
UNCONVENTIONAL / ODD,aberrant,,"(adj, -ve) deviantly abnormal + unconventional / odd",BOTH,,,,
UNCONVENTIONAL / ODD,anomalous,,"(adj, N) abnormally irregular + unconventional / odd",BOTH,,,,
UNCONVENTIONAL / ODD,atypical,,"not representative of a group, class, or type",XLSX,,,,
UNCONVENTIONAL / ODD,eccentric,,"(adj, N) harmlessly odd + unconventional / odd",BOTH,,,,
UNCONVENTIONAL / ODD,eccentricity,,strange and unconventional behavior,GREG_MAT,,,,
UNCONVENTIONAL / ODD,exotic,,"(adj, N) foreign, unusually + unconventional / odd",BOTH,,,,
UNCONVENTIONAL / ODD,idiosyncrasy,,a behavioral attribute that is distinctive and peculiar to an individual,XLSX,,,,
UNCONVENTIONAL / ODD,idiosyncratic,,"(adj, N) distinctively personal + unconventional / odd",BOTH,,,,
UNCONVENTIONAL / ODD,outlandish,,"(adj, -ve) bizarrely strange + unconventional / odd",BOTH,,,,
UNCONVENTIONAL / ODD,peculiar,,"(adj, N) strange | distinctive to",PDF,,,,
UNCONVENTIONAL / ODD,peculiarity,,an odd or unusual characteristic,XLSX,,,,
UNCONVENTIONAL / ODD,quirky,,"(adj, N) offbeat, peculiar + unconventional / odd",BOTH,,,,
UNCONVENTIONAL / ODD,singular,,the form of a word that is used to denote a singleton,XLSX,,,,
UNCONVENTIONAL / ODD,uncharacteristic,,distinctive and not typical,XLSX,,,,
UNCONVENTIONAL / ODD,unorthodox,,independent in behavior or thought,XLSX,,,,
UNDERMINE,destabilize,,become unstable,XLSX,,,,
UNDERMINE,erode,,become ground down or deteriorate,XLSX,,,,
UNDERMINE,subvert,,"(verb, -ve) secretly overthrow + undermine",BOTH,,,,
UNDERMINE,undercut,,"(verb, -ve) weaken from beneath + undermine",BOTH,,,,
UNDERMINE,undermine,,"(verb, -ve) sabotage from below + undermine",BOTH,,,,
UNEMOTIONAL,callous,,"(adj, -ve) heartlessly + unfeeling",PDF,,,,
UNEMOTIONAL,impassive,,having or revealing little emotion or sensibility; not easily aroused or excited; ; - Nordhoff & Hall; -Virginia Woolf,XLSX,,,,
UNEMOTIONAL,phlegm,,apathy demonstrated by an absence of emotional reactions,GREG_MAT,,,,
UNEMOTIONAL,phlegmatic,,"(adj, N) unemotionally calm + indifferent",BOTH,,,,
UNEMOTIONAL,stoic,,"(adj/noun, +ve) nobly enduring hardship + unemotional",PDF,,,,
UNEMOTIONAL,stoicism,,an indifference to pleasure or pain,XLSX,,,,
UNEMOTIONAL,stolid,,"(adj, N) dully impassive (can imply slow) + unemotional",PDF,,,,
UNEMOTIONAL,unfeeling,,devoid of feeling for others,XLSX,,,,
UNEMOTIONAL,unmoved,,emotionally unmoved,XLSX,,,,
UNIFORM,consistent,,(sometimes followed by `with') in agreement or consistent or reliable; ; - FDR,XLSX,,,,
UNIFORM,homogeneity,,the quality of being similar or comparable in kind or nature,XLSX,,,,
UNIFORM,homogeneous,,"(adj, N) all alike + uniform",BOTH,,,,
UNIFORM,monolithic,,imposing in size or bulk or solidity,XLSX,,,,
UNIFORM,unidimensional,,relating to a single dimension or aspect; having no depth or scope; - Mary Sheehan,XLSX,,,,
UNIFORM,uniform,,clothing of distinctive design worn by members of a particular group as a means of identification,XLSX,,,,
UNIFORM,uniformity,,a condition in which everything is regular and unvarying,XLSX,,,,
UNNECESSARY / EXTRA,extraneous,,"(adj, -ve) irrelevantly + unnecessary / extra",BOTH,,,,
UNNECESSARY / EXTRA,gratuitous,,"(adj, -ve) unwarrantedly + unnecessary / extra | also: free",PDF,,,,
UNNECESSARY / EXTRA,inessential,,anything that is not essential,XLSX,,,,
UNNECESSARY / EXTRA,redundancy,,repetition of messages to reduce the probability of errors in transmission,XLSX,,,,
UNNECESSARY / EXTRA,redundant,,"(adj, -ve) repetitively + unnecessary / extra",BOTH,,,,
UNNECESSARY / EXTRA,superfluous,,"(adj, -ve) excessively + unnecessary / extra",BOTH,,,,
UNNECESSARY / EXTRA,surplus,,a quantity much larger than is needed,XLSX,,,,
UNNECESSARY / EXTRA,tangential,,"(adj, N) off-topic, side-tracking + unnecessary / extra",PDF,,,,
UNNECESSARY / EXTRA,unnecessary,,not necessary,XLSX,,,,
UNSTABLE / RISKY,instability,,an unstable order,XLSX,,,,
UNSTABLE / RISKY,precarious,,"(adj, -ve) teeteringly + unstable / risky",BOTH,,,,
UNSTABLE / RISKY,tenuous,,"(adj, -ve) flimsily thin + weak",BOTH,,,,
UNSTABLE / RISKY,unsteady,,subject to change or variation,XLSX,,,,
URGE ON,exhort,,"(verb, +ve) encouragingly + urge on",PDF,,,,
URGE ON,prompt,,a cue given to a performer (usually the beginning of the next line to be spoken),XLSX,,,,
URGE ON,spur,,a verbalization that encourages you to attempt something,XLSX,,,,
VAGUE / UNCLEAR,amorphous,,"(adj, N) shapeless, formless",BOTH,,,,
VAGUE / UNCLEAR,formlessness,,vague; unclear,XLSX,,,,
VAGUE / UNCLEAR,imprecise,,not precise,XLSX,,,,
VAGUE / UNCLEAR,imprecision,,the quality of lacking precision,XLSX,,,,
VAGUE / UNCLEAR,indefinite,,"(adj, N) unclear, vague | without limit",PDF,,,,
VAGUE / UNCLEAR,indeterminacy,,the quality of being vague and poorly defined,XLSX,,,,
VAGUE / UNCLEAR,indiscernible,,difficult or impossible to perceive or discern,XLSX,,,,
VAGUE / UNCLEAR,nuanced,,vague; unclear,XLSX,,,,
VAGUE / UNCLEAR,obtuseness,,the quality of being slow to understand,XLSX,,,,
VAGUE / UNCLEAR,subtle,,"(adj, +ve) faintly understated, refined",BOTH,,,,
VAGUE / UNCLEAR,subtlety,,a subtle difference in meaning or opinion or attitude,XLSX,,,,
VAGUE / UNCLEAR,vague,,not clearly understood or expressed; ; -Anatole Broyard; - P.A.Sorokin; - John Locke,XLSX,,,,
VAGUE / UNCLEAR,vagueness,,unclearness by virtue of being poorly expressed or not coherent in meaning,XLSX,,,,
VAIN / SELF-OBSESSED,egotism,,an exaggerated opinion of your own importance,XLSX,,,,
VAIN / SELF-OBSESSED,egotistical,,characteristic of those having an inflated idea of their own importance,XLSX,,,,
VAIN / SELF-OBSESSED,megalomaniacal,,suffering from megalomania,XLSX,,,,
VAIN / SELF-OBSESSED,narcissism,,"(noun, -ve) vanity itself (noun) + vain / self-obsessed",PDF,,,,
VAIN / SELF-OBSESSED,narcissistic,,characteristic of those having an inflated idea of their own importance,XLSX,,,,
VAIN / SELF-OBSESSED,pride,,a feeling of self-respect and personal worth,XLSX,,,,
VAIN / SELF-OBSESSED,self-aggrandizement,,an act undertaken to increase your own power and influence or to draw attention to your own importance,GREG_MAT,,,,
VAIN / SELF-OBSESSED,self-aggrandizing,,of or relating to or characteristic of self-aggrandizement,XLSX,,,,
VAIN / SELF-OBSESSED,self-indulgent,,"(adj, -ve) hedonistically + vain / self-obsessed",PDF,,,,
VAIN / SELF-OBSESSED,self-serving,,interested only in yourself,XLSX,,,,
VAIN / SELF-OBSESSED,vainglorious,,feeling self-importance,XLSX,,,,
WASTEFUL / EXTRAVAGANT,exorbitance,,excessive excess,XLSX,,,,
WASTEFUL / EXTRAVAGANT,exorbitant,,"(adj, -ve) outrageously overpriced + wasteful / extravagant",PDF,,,,
WASTEFUL / EXTRAVAGANT,extravagance,,the quality of exceeding the appropriate limits of decorum or probability or truth,GREG_MAT,,,,
WASTEFUL / EXTRAVAGANT,extravagant,,"(adj, -ve) excessively + wasteful / extravagant",BOTH,,,,
WASTEFUL / EXTRAVAGANT,extravagantly,,in an abundant manner,XLSX,,,,
WASTEFUL / EXTRAVAGANT,lavish,,"(adj/verb, N) abundantly + wasteful / extravagant | also: bestow generously",PDF,,,,
WASTEFUL / EXTRAVAGANT,lavishly,,in a wasteful manner,XLSX,,,,
WASTEFUL / EXTRAVAGANT,opulence,,wealth as evidenced by sumptuous living,XLSX,,,,
WASTEFUL / EXTRAVAGANT,prodigal,,"(adj/noun, -ve) recklessly + wasteful / extravagant",PDF,,,,
WASTEFUL / EXTRAVAGANT,profligacy,,the trait of spending extravagantly,XLSX,,,,
WASTEFUL / EXTRAVAGANT,profligate,,"(adj/noun, -ve) shamelessly + wasteful / extravagant",BOTH,,,,
WASTEFUL / EXTRAVAGANT,spendthrift,,"(noun, -ve) a wasteful spender (noun) + wasteful / extravagant",PDF,,,,
WASTEFUL / EXTRAVAGANT,squander,,"(verb, -ve) throw away, waste (verb) + wasteful / extravagant",PDF,,,,
WEAK,debilitating,,"(adj, -ve) cripplingly draining + weak",PDF,,,,
WEAK,feeble,,"(adj, -ve) frailly + weak",BOTH,,,,
WEAK,fragile,,easily broken or damaged or destroyed,XLSX,,,,
WEAK,fragility,,quality of being easily damaged or destroyed,XLSX,,,,
WEAK,frailty,,"(noun, -ve) fragile, delicate (noun) + weak",PDF,,,,
WEAK,impotence,,the quality of lacking strength or power; being weak and feeble,XLSX,,,,
WEAK,weak,,wanting in physical strength,XLSX,,,,
WEAKEN,debilitate,,make weak,XLSX,,,,
WEAKEN,enervate,,"(verb, -ve) drain of strength (verb) + weak",BOTH,,,,
WEAKEN,enfeeble,,make weak,GREG_MAT,,,,
WEAKEN,weaken,,lessen the strength of,XLSX,,,,
WIDESPREAD,endemic,,"(adj, N) natively prevalent (to a region) + widespread",BOTH,,,,
WIDESPREAD,omnipresence,,the state of being everywhere at once (or seeming to be everywhere at once),XLSX,,,,
WIDESPREAD,omnipresent,,"(adj, N) everywhere at once + widespread",BOTH,,,,
WIDESPREAD,pervasive,,"(adj, N) seeping-everywhere + widespread",BOTH,,,,
WIDESPREAD,pervasiveness,,the quality of filling or spreading throughout,GREG_MAT,,,,
WIDESPREAD,prevalent,,most frequent or common,XLSX,,,,
WIDESPREAD,rampant,,"(adj, -ve) uncontrollably + widespread",BOTH,,,,
WIDESPREAD,ubiquitous,,"(adj, N) found everywhere + widespread",BOTH,,,,
WIDESPREAD,ubiquity,,the state of being everywhere at once (or seeming to be everywhere at once),XLSX,,,,
WIDESPREAD,universal,,"(adj, N) generally + widespread",BOTH,,,,
WINDING,circuitous,,marked by obliqueness or indirection in speech or conduct,XLSX,,,,
WINDING,sinuous,,"(adj, N) gracefully curvy + winding",PDF,,,,
WINDING,tortuous,,"(adj, N) windingly (paths, arguments) + complex",BOTH,,,,
WISE / SHREWD,astute,,"(adj, +ve) sharply perceptive + wise / shrewd",BOTH,,,,
WISE / SHREWD,canny,,"(adj, +ve) cleverly + wise / shrewd",BOTH,,,,
WISE / SHREWD,judicious,,"(adj, +ve) with sound judgment + cautious",BOTH,,,,
WISE / SHREWD,perspicacious,,"(adj, +ve) piercingly perceptive + wise / shrewd",PDF,,,,
WISE / SHREWD,sagacious,,"(adj, +ve) deeply, experience + wise / shrewd",BOTH,,,,
WISE / SHREWD,sagaciousness,,the mental ability to understand and discriminate between relations,XLSX,,,,
WISE / SHREWD,sage,,a mentor in spiritual and philosophical topics who is renowned for profound wisdom,XLSX,,,,
WISE / SHREWD,shrewd,,"(adj, N) cunningly (a self-interested edge) + wise / shrewd",BOTH,,,,
WISE / SHREWD,wisdom,,accumulated knowledge or erudition or enlightenment,XLSX,,,,
WORDY,bombast,,pompous or pretentious talk or writing,XLSX,,,,
WORDY,bombastic,,"(adj, -ve) pompously inflated (speech) + showy / ornate",BOTH,,,,
WORDY,long-winded,,using or containing too many words,XLSX,,,,
WORDY,prolix,,"(adj, -ve) boringly long-winded + talkative",BOTH,,,,
WORDY,prolixity,,boring verbosity,XLSX,,,,
WORDY,verbose,,"(adj, -ve) too wordy + talkative",BOTH,,,,
WORDY,verbosity,,an expressive style that uses excessive or empty words,GREG_MAT,,,,
WORLDLY / BROAD-MINDED,cosmopolitan,,"(adj, +ve) sophisticatedly + worldly / broad-minded",BOTH,,,,
WORLDLY / BROAD-MINDED,cosmopolitanism,,worldly; broad-minded,XLSX,,,,
WORLDLY / BROAD-MINDED,open-minded,,ready to entertain new ideas,XLSX,,,,
WORRY / DREAD,anxiety,,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",XLSX,,,,
WORRY / DREAD,anxious,,eagerly desirous,XLSX,,,,
WORRY / DREAD,apprehension,,"(noun, -ve) anxious (noun) + worry / dread | also: arrest",BOTH,,,,
WORRY / DREAD,apprehensive,,quick to understand; - Nathaniel Hawthorne,XLSX,,,,
WORRY / DREAD,consternation,,fear resulting from the awareness of danger,XLSX,,,,
WORRY / DREAD,disquiet,,a feeling of mild anxiety about possible developments,XLSX,,,,
WORRY / DREAD,fret,,"(verb/noun, -ve) fussing (verb/noun) + worry / dread",PDF,,,,
WORRY / DREAD,misgiving,,uneasiness about the fitness of an action,XLSX,,,,
WORRY / DREAD,suspense,,apprehension about what is going to happen,XLSX,,,,
WORRY / DREAD,trepidation,,a feeling of alarm or dread,XLSX,,,,
WORRY / DREAD,unease,,physical discomfort (as mild sickness or depression),XLSX,,,,
WORRY / DREAD,worrisome,,not reassuring; tending to cause anxiety,XLSX,,,,
WORRY / DREAD,worry,,something or someone that causes anxiety; a source of unhappiness,XLSX,,,,
WORSEN,aggravate,,make worse,XLSX,,,,
WORSEN,compound,,"(verb/noun/adj, -ve) by piling on more + worsen | also: combine",BOTH,,,,
WORSEN,deteriorate,,become worse or disintegrate,XLSX,,,,
WORSEN,exacerbate,,"(verb, -ve) worsen (a bad thing) + increase",BOTH,,,,
WORSEN,fester,,"(verb, -ve) by rotting untreated + worsen",PDF,,,,
WORSEN,worsen,,grow worse,XLSX,,,,
YIELDING / FLEXIBLE,acquiesce,,"(verb, N) reluctantly agree (verb) + yielding / flexible",BOTH,,,,
YIELDING / FLEXIBLE,acquiescence,,acceptance without protest,XLSX,,,,
YIELDING / FLEXIBLE,amenable,,"(adj, +ve) cooperatively, agreeably + yielding / flexible",PDF,,,,
YIELDING / FLEXIBLE,cave,,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,XLSX,,,,
YIELDING / FLEXIBLE,compliant,,disposed or willing to comply,XLSX,,,,
YIELDING / FLEXIBLE,comply,,"(verb, N) simply obey (verb) + yielding / flexible",PDF,,,,
YIELDING / FLEXIBLE,pliant,,"(adj, N) bending easily + yielding / flexible",PDF,,,,
YIELDING / FLEXIBLE,pushover,,someone who is easily taken advantage of,XLSX,,,,
YIELDING / FLEXIBLE,supple,,"(adj, +ve) gracefully + yielding / flexible",PDF,,,,
YIELDING / FLEXIBLE,tractable,,"(adj, N) easily managed + yielding / flexible",BOTH,,,,
YIELDING / FLEXIBLE,yield,,"(verb/noun, N) give in, surrender | produce (crops, results)",BOTH,,,,


Word,Meaning,Meaning,Meaning,Meaning
abet,"(verb, -ve) assist in wrongdoing",BOTH,,
abeyance,"(noun, N) temporary suspension (held in abeyance)",PDF,,
abide,"(verb, N) tolerate | remain, endure",PDF,,
abreast,"(adv, N) up-to-date (keep abreast) | side-by-side",PDF,,
abscond,"(verb, -ve) flee secretly (often with money)",PDF,,
absence,the state of being absent,XLSX,,
abstain,"(verb, N) deliberately refrain, hold back",PDF,,
absurd,a situation in which life seems irrational and meaningless; --Albert Camus,XLSX,,
abuse,cruel or inhumane treatment,XLSX,,
accept,consider or hold as true,XLSX,,
accessible,"(adj, +ve) easily reachable, approachable",PDF,,
accommodate,be agreeable or acceptable to,XLSX,,
accord,"(noun/verb, N) agreement, harmony | grant, give",PDF,,
acquaintance,personal knowledge or information about someone or something,XLSX,,
acquisition,the act of contracting or assuming or acquiring possession of something,XLSX,,
adduce,advance evidence for,XLSX,,
adventitious,associated by chance and not an integral part; - Frederick W. Robertson,XLSX,,
aesthetic,"(adj/noun, N) beauty-related | a sense of beauty",PDF,,
affect,the conscious subjective aspect of feeling or emotion,GREG_MAT,,
affirmative,a reply of affirmation,XLSX,,
affluent,"(adj, +ve) wealthy, rich",PDF,,
amalgamation,the combination of two or more commercial companies,GREG_MAT,,
amoral,(GRE vocabulary term),XLSX,,
amuse,"occupy in an agreeable, entertaining or pleasant fashion",XLSX,,
analogy,an inference that if things agree in some respects they probably agree in others,GREG_MAT,,
anathematic,(GRE vocabulary term),XLSX,,
ante,(poker) the initial contribution that each player makes to the pot,XLSX,,
anthropogenic,of or relating to the study of the origins and development of human beings,XLSX,,
antiquarian,an expert or collector of antiquities,XLSX,,
approbate,approve or sanction officially,GREG_MAT,,
appropriate,"(adj/verb, N) suitable, fitting | seize for oneself (-ve as verb)",PDF,,
archive,a depository containing historical records and documents,XLSX,,
arousal,the act of arousing,XLSX,,
artifact,a man-made object taken as a whole,XLSX,,
assertive,"(adj, +ve) confidently forceful",PDF,,
assort,keep company with; hang out with,XLSX,,
audacity,fearless daring,GREG_MAT,,
auxiliary,"(adj/noun, N) supplementary, backup",PDF,,
averse,(usually followed by `to') strongly opposed,GREG_MAT,,
awry,turned or twisted toward one side; - G.K.Chesterton,XLSX,,
backhand,a return made with the back of the hand facing the direction of the stroke,XLSX,,
barrage,"(noun, -ve) an overwhelming bombardment (of criticism, questions)",PDF,,
bedrock,solid unweathered rock lying beneath surface deposits of soil,XLSX,,
beholden,"(adj, -ve) uncomfortably indebted, obligated",PDF,,
bereave,deprive through death,GREG_MAT,,
blighted,"(adj, -ve) ruined, spoiled by decay",PDF,,
blithely,in a joyous manner,XLSX,,
bombshell,an entertainer who has a sensational effect,XLSX,,
bore,a person who evokes boredom,XLSX,,
bound,a line determining the limits of an area,XLSX,,
boundary,the line or plane indicating the limit or extent of something,XLSX,,
brackish,distasteful and unpleasant; spoiled by mixture,XLSX,,
bravado,"(noun, -ve) false, showy boldness",PDF,,
breakthrough,a productive insight,XLSX,,
broad,slang term for a woman,XLSX,,
buoy,bright-colored; a float attached by rope to the seabed to mark channels in a harbor or underwater hazards,XLSX,,
bureaucracy,nonelective government officials,XLSX,,
bureaucratic,of or relating to or resembling a bureaucrat or bureaucracy,XLSX,,
burnish,"(verb, +ve) polish to a shine; enhance (a reputation)",PDF,,
buyer,a person who buys,XLSX,,
catalog,a book or pamphlet containing an enumeration of things,XLSX,,
cathartic,"(adj, +ve) emotionally purging, cleansing",PDF,,
censor,"(verb/noun, -ve) suppress or ban (content)",PDF,,
ceremonial,a formal event performed on a special occasion,XLSX,,
cessation,a stopping,GREG_MAT,,
charismatic,possessing an extraordinary ability to attract,XLSX,,
chauvinism,fanatical patriotism,GREG_MAT,,
cherish,"(verb, +ve) treasure, hold dear",PDF,,
chivalry,courtesy towards women,GREG_MAT,,
cinch,any undertaking that is easy to do,XLSX,,
circumstantial,"(adj, N) indirect, inferred (evidence)",BOTH,,
circustantial,(GRE vocabulary term),XLSX,,
claustrophobic,uncomfortably closed or hemmed in,XLSX,,
clement,(of weather or climate) physically mild,XLSX,,
clot,a lump of material formed from the content of a liquid,XLSX,,
cloying,"(adj, -ve) excessively + sickly-sweet",PDF,,
coddle,"(verb, -ve) overprotectively pamper",BOTH,,
coincidental,occurring or operating at the same time,XLSX,,
collaborate,"(verb, +ve) work together productively",PDF,,
collaboration,act of working jointly,GREG_MAT,,
commence,"(verb, N) begin, start",PDF,,
compact,a small cosmetics case with a mirror; to be carried in a woman's purse,XLSX,,
compensate,adjust for,XLSX,,
competence,the quality of being adequately or well qualified physically and intellectually,GREG_MAT,,
complement,a word or phrase used to complete a grammatical construction,GREG_MAT,,
complementary,"(adj, +ve) mutually completing each other",PDF,,
compliance,acting according to certain accepted standards,GREG_MAT,,
compose,form the substance of,XLSX,,
comprise,be composed of,XLSX,,
compromise,"(noun/verb, N) mutual concession | weaken, endanger (-ve as verb)",PDF,,
compunction,a feeling of deep regret (usually for some misdeed),XLSX,,
concession,a contract granting the right to operate a subsidiary business,XLSX,,
conclusive,"(adj, +ve) decisively settling the question",PDF,,
concomitant,an event or situation that happens at the same time as or in connection with another,XLSX,,
condign,fitting or appropriate and deserved; used especially of punishment,XLSX,,
condone,"(verb, -ve) overlook or tacitly accept (wrongdoing)",BOTH,,
connoisseur,"(noun, +ve) an expert judge of quality",PDF,,
consensus,"(noun, +ve) general agreement",BOTH,,
consent,permission to do something,GREG_MAT,,
consequential,having important issues or results,XLSX,,
consequently,(sentence connectors) because of the reason given,XLSX,,
conservatism,a political or theological orientation advocating the preservation of the best in society and opposing radical changes,XLSX,,
consort,the husband or wife of a reigning monarch,XLSX,,
constitute,form or compose,XLSX,,
contagious,easily diffused or spread as from one person to another,XLSX,,
contemporary,"(adj/noun, N) current, modern | of the same era",BOTH,,
